Ano,Área de Avaliação,Grau Acadêmico,Organização Acadêmica,Categoria Administrativa,Modalidade de Ensino,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Conceito Enade (Faixa)
2023,ENGENHARIA CIVIL,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ji-Paraná,RO,35,29,2
2023,ENGENHARIA AMBIENTAL,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ji-Paraná,RO,1,0,SC
2023,ODONTOLOGIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ji-Paraná,RO,24,22,2
2023,BIOMEDICINA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ji-Paraná,RO,21,17,2
2023,NUTRIÇÃO,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ji-Paraná,RO,34,30,3
2023,ENGENHARIA AMBIENTAL,Bacharelado,Universidade,Pública Federal,Educação Presencial,Ji-Paraná,RO,23,16,3
2023,BIOMEDICINA,Bacharelado,Centro Universitário,Comunitária/Confessional,Educação Presencial,Ji-Paraná,RO,26,26,2
2023,MEDICINA VETERINÁRIA,Bacharelado,Centro Universitário,Comunitária/Confessional,Educação Presencial,Ji-Paraná,RO,16,16,2
2023,AGRONOMIA,Bacharelado,Centro Universitário,Comunitária/Confessional,Educação Presencial,Ji-Paraná,RO,24,23,2
2023,ARQUITETURA E URBANISMO,Bacharelado,Centro Universitário,Comunitária/Confessional,Educação Presencial,Ji-Paraná,RO,17,13,1
2023,ENFERMAGEM,Bacharelado,Centro Universitário,Comunitária/Confessional,Educação Presencial,Ji-Paraná,RO,26,26,3
2023,FARMÁCIA,Bacharelado,Centro Universitário,Comunitária/Confessional,Educação Presencial,Ji-Paraná,RO,23,23,3
2023,FARMÁCIA,Bacharelado,Faculdade,Privada sem fins lucrativos,Educação Presencial,Ouro Preto do Oeste,RO,14,13,1
2023,ENFERMAGEM,Bacharelado,Faculdade,Privada sem fins lucrativos,Educação Presencial,Ouro Preto do Oeste,RO,9,9,1
2023,ENFERMAGEM,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Pimenta Bueno,RO,14,12,3
2023,NUTRIÇÃO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Pimenta Bueno,RO,11,11,2
2023,ENGENHARIA CIVIL,Bacharelado,Universidade,Pública Federal,Educação Presencial,Porto Velho,RO,25,25,4
2023,ENGENHARIA DE COMPUTAÇÃO I,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,14,12,3
2023,ENGENHARIA DE PRODUÇÃO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,2,0,SC
